run	arm	rep	token	seasons	allowed
20260918-095800	all_layers	1	water:BIRD_OSPREY	2,3	1
20260918-095800	all_layers	1	WARTHOG	0,1	1
20260918-095800	all_layers	1	cavern:SPIDER_CAVE	0,1,2,3	1
20260918-095800	all_layers	1	cavern:OLM_GIANT	0,1,2,3	1
20260918-095800	all_layers	1	FISH_STINGRAY	0,1	1
20260918-095800	all_layers	1	MOSQUITO	2,3	1
20260918-095800	all_layers	1	CHAMELEON	0,1,2,3	1
20260918-095800	all_layers	1	water:RIVER OTTER	2,3	1
20260918-095800	all_layers	1	cavern:BIRD_SWALLOW_CAVE	0,1,2,3	1
20260918-095800	all_layers	1	GIANT TORTOISE	0,1	1
20260918-095800	all_layers	1	FISH_GUPPY	0,1,2,3	1
20260918-095800	all_layers	1	BIRD_WREN	0,1,2,3	1
20260918-095800	all_layers	1	water:CROCODILE_SALTWATER	0,1	1
20260918-095800	all_layers	1	cavern:MOLE_DOG_NAKED	0,1,2,3	1
20260918-095800	all_layers	1	BUTTERFLY_MONARCH	2,3	1
20260918-095800	all_layers	1	ELEPHANT	0,1,2,3	1
20260918-095800	all_layers	1	HIPPO	0,1	1
20260918-095800	all_layers	1	cavern:TROGLODYTE	0,1,2,3	1
20260918-095800	all_layers	1	cavern:BLIND_CAVE_BEAR	0,1,2,3	1
20260918-095800	all_layers	1	water:ALLIGATOR	2,3	1
20260918-095800	all_layers	1	cavern:PLUMP_HELMET_MAN	0,1,2,3	1
20260918-095800	all_layers	1	FISH_CARP	2,3	1
20260918-095800	all_layers	1	cavern:SPIDER_CAVE_GIANT	0,1,2,3	1
20260918-095800	all_layers	1	BIRD_EAGLE	2,3	1
20260918-095800	all_layers	1	cavern:GREEN_DEVOURER	0,1,2,3	1
20260918-095800	all_layers	1	cavern:RUTHERER	0,1,2,3	1
20260918-095800	all_layers	1	MANTIS	0,1,2,3	1
20260918-095800	all_layers	1	cavern:GIANT_EARTHWORM	0,1,2,3	1
20260918-095800	all_layers	1	cavern:CAP_HOPPER	0,1,2,3	1
20260918-095800	all_layers	1	BIRD_VULTURE	0,1,2,3	1
20260918-095800	all_layers	1	cavern:MAGMA_CRAB	0,1,2,3	1
20260918-095800	all_layers	1	cavern:RAT_GIANT	0,1,2,3	1
20260918-095800	all_layers	1	water:MUSSEL	2,3	1
20260918-095800	all_layers	1	water:HIPPO	0,1	1
20260918-095800	all_layers	1	cavern:CAVE_BLOB	0,1,2,3	1
20260918-095800	all_layers	1	cavern:BIRD_SWALLOW_CAVE_GIANT	0,1,2,3	1
20260918-095800	all_layers	1	cavern:FISH_CAVE	0,1,2,3	1
20260918-095800	all_layers	1	GIRAFFE	0,1	1
20260918-095800	all_layers	1	cavern:JABBERER	0,1,2,3	1
20260918-095800	all_layers	1	WILD_BOAR	0,1,2,3	1
20260918-095800	all_layers	1	water:FISH_TIGERFISH	0,1	1
20260918-095800	all_layers	1	POND_TURTLE	2,3	1
20260918-095800	all_layers	1	RIVER OTTER	2,3	1
20260918-095800	all_layers	1	cavern:MOLEMARIAN	0,1,2,3	1
20260918-095800	all_layers	1	BIRD_PARAKEET	0,1,2,3	1
20260918-095800	all_layers	1	WEASEL	2,3	1
20260918-095800	all_layers	1	water:FISH_STINGRAY	0,1	1
20260918-095800	all_layers	1	water:FISH_MILKFISH	0,1	1
20260918-095800	all_layers	1	FISH_MILKFISH	0,1	1
20260918-095800	all_layers	1	AXOLOTL	0,1,2,3	1
20260918-095800	all_layers	1	cavern:FLESH_BALL	0,1,2,3	1
20260918-095800	all_layers	1	FISH_TIGERFISH	0,1	1
