run	arm	rep	tick	abs_tick	subject	metric	value
20260918-163220	ceiling_25	1	16800	823200	clock	year	2
20260918-163220	ceiling_25	1	16800	823200	clock	tick	16800
20260918-163220	ceiling_25	1	16800	823200	clock	season	0
20260918-163220	ceiling_25	1	16800	823200	clock	paused	1
20260918-163220	ceiling_25	1	16800	823200	clock	fps_cap	1000.0
20260918-163220	ceiling_25	1	16800	823200	clock	fps_achieved	117
20260918-163220	ceiling_25	1	16800	823200	clock	gfps_cap	10.0
20260918-163220	ceiling_25	1	16800	823200	clock	units_active	31
20260918-163220	ceiling_25	1	16800	823200	clock	popups	0
20260918-163220	ceiling_25	1	16800	823200	clock	map	1
20260918-163220	ceiling_25	1	19888	826288	clock	fps_achieved	302
20260918-163220	ceiling_25	1	19888	826288	clock	units_active	54
20260918-163220	ceiling_25	1	19888	826288	clock	popups	0
20260918-163220	ceiling_25	1	19888	826288	clock	paused	1
20260918-163220	ceiling_25	1	19888	826288	clock	ticks_per_wall_s	206.5
20260918-163220	ceiling_25	1	19888	826288	139	arrival_species	BIRD_OWL_GREAT_HORNED
20260918-163220	ceiling_25	1	19888	826288	139	arrival_countdown	22125
20260918-163220	ceiling_25	1	19888	826288	140	arrival_species	TROGLODYTE
20260918-163220	ceiling_25	1	19888	826288	140	arrival_countdown	18246
20260918-163220	ceiling_25	1	19888	826288	141	arrival_species	TROGLODYTE
20260918-163220	ceiling_25	1	19888	826288	141	arrival_countdown	24102
20260918-163220	ceiling_25	1	19888	826288	142	arrival_species	TROGLODYTE
20260918-163220	ceiling_25	1	19888	826288	142	arrival_countdown	18404
20260918-163220	ceiling_25	1	19888	826288	143	arrival_species	TROGLODYTE
20260918-163220	ceiling_25	1	19888	826288	143	arrival_countdown	26249
20260918-163220	ceiling_25	1	19888	826288	144	arrival_species	TROGLODYTE
20260918-163220	ceiling_25	1	19888	826288	144	arrival_countdown	23967
20260918-163220	ceiling_25	1	19888	826288	145	arrival_species	TROGLODYTE
20260918-163220	ceiling_25	1	19888	826288	145	arrival_countdown	25168
20260918-163220	ceiling_25	1	19888	826288	146	arrival_species	SPIDER_CAVE_GIANT
20260918-163220	ceiling_25	1	19888	826288	146	arrival_countdown	18442
20260918-163220	ceiling_25	1	19888	826288	147	arrival_species	DEMON_4
20260918-163220	ceiling_25	1	19888	826288	147	arrival_countdown	18905
20260918-163220	ceiling_25	1	19888	826288	148	arrival_species	DEMON_4
20260918-163220	ceiling_25	1	19888	826288	148	arrival_countdown	26175
20260918-163220	ceiling_25	1	19888	826288	149	arrival_species	BIRD_RAVEN
20260918-163220	ceiling_25	1	19888	826288	149	arrival_countdown	23189
20260918-163220	ceiling_25	1	19888	826288	150	arrival_species	BIRD_RAVEN
20260918-163220	ceiling_25	1	19888	826288	150	arrival_countdown	19917
20260918-163220	ceiling_25	1	19888	826288	151	arrival_species	BIRD_RAVEN
20260918-163220	ceiling_25	1	19888	826288	151	arrival_countdown	20974
20260918-163220	ceiling_25	1	19888	826288	152	arrival_species	BIRD_RAVEN
20260918-163220	ceiling_25	1	19888	826288	152	arrival_countdown	24426
20260918-163220	ceiling_25	1	19888	826288	153	arrival_species	BIRD_RAVEN
20260918-163220	ceiling_25	1	19888	826288	153	arrival_countdown	26267
20260918-163220	ceiling_25	1	19888	826288	154	arrival_species	BIRD_RAVEN
20260918-163220	ceiling_25	1	19888	826288	154	arrival_countdown	25069
20260918-163220	ceiling_25	1	19888	826288	155	arrival_species	BIRD_RAVEN
20260918-163220	ceiling_25	1	19888	826288	155	arrival_countdown	21309
20260918-163220	ceiling_25	1	19888	826288	156	arrival_species	BIRD_RAVEN
20260918-163220	ceiling_25	1	19888	826288	156	arrival_countdown	23845
20260918-163220	ceiling_25	1	19888	826288	157	arrival_species	BIRD_RAVEN
20260918-163220	ceiling_25	1	19888	826288	157	arrival_countdown	23628
20260918-163220	ceiling_25	1	19888	826288	158	arrival_species	BIRD_RAVEN
20260918-163220	ceiling_25	1	19888	826288	158	arrival_countdown	22731
20260918-163220	ceiling_25	1	19888	826288	159	arrival_species	TOAD_GIANT_CAVE
20260918-163220	ceiling_25	1	19888	826288	159	arrival_countdown	24578
20260918-163220	ceiling_25	1	19888	826288	160	arrival_species	CROCODILE_CAVE
20260918-163220	ceiling_25	1	19888	826288	160	arrival_countdown	24918
20260918-163220	ceiling_25	1	19888	826288	161	arrival_species	SKUNK
20260918-163220	ceiling_25	1	19888	826288	161	arrival_countdown	17456
20260918-163220	ceiling_25	1	19888	826288	126	countdown	23819
20260918-163220	ceiling_25	1	19888	826288	126	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	127	countdown	21568
20260918-163220	ceiling_25	1	19888	826288	127	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	128	countdown	19709
20260918-163220	ceiling_25	1	19888	826288	128	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	129	countdown	20364
20260918-163220	ceiling_25	1	19888	826288	129	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	130	countdown	25218
20260918-163220	ceiling_25	1	19888	826288	130	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	131	countdown	21243
20260918-163220	ceiling_25	1	19888	826288	131	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	132	countdown	23064
20260918-163220	ceiling_25	1	19888	826288	132	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	133	countdown	23447
20260918-163220	ceiling_25	1	19888	826288	133	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	134	countdown	24456
20260918-163220	ceiling_25	1	19888	826288	134	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	135	countdown	23197
20260918-163220	ceiling_25	1	19888	826288	135	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	136	countdown	22219
20260918-163220	ceiling_25	1	19888	826288	136	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	137	countdown	21906
20260918-163220	ceiling_25	1	19888	826288	137	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	138	countdown	18469
20260918-163220	ceiling_25	1	19888	826288	138	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	139	countdown	22125
20260918-163220	ceiling_25	1	19888	826288	139	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	140	countdown	18246
20260918-163220	ceiling_25	1	19888	826288	140	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	141	countdown	24102
20260918-163220	ceiling_25	1	19888	826288	141	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	142	countdown	18404
20260918-163220	ceiling_25	1	19888	826288	142	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	143	countdown	26249
20260918-163220	ceiling_25	1	19888	826288	143	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	144	countdown	23967
20260918-163220	ceiling_25	1	19888	826288	144	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	145	countdown	25168
20260918-163220	ceiling_25	1	19888	826288	145	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	146	countdown	18442
20260918-163220	ceiling_25	1	19888	826288	146	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	147	countdown	18905
20260918-163220	ceiling_25	1	19888	826288	147	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	148	countdown	26175
20260918-163220	ceiling_25	1	19888	826288	148	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	149	countdown	23189
20260918-163220	ceiling_25	1	19888	826288	149	flag_src	0
20260918-163220	ceiling_25	1	19888	826288	150	countdown	19917
20260918-163220	ceiling_25	1	19888	826288	150	flag_src	0
20260918-163220	ceiling_25	1	19888	826288	151	countdown	20974
20260918-163220	ceiling_25	1	19888	826288	151	flag_src	0
20260918-163220	ceiling_25	1	19888	826288	152	countdown	24426
20260918-163220	ceiling_25	1	19888	826288	152	flag_src	0
20260918-163220	ceiling_25	1	19888	826288	153	countdown	26267
20260918-163220	ceiling_25	1	19888	826288	153	flag_src	0
20260918-163220	ceiling_25	1	19888	826288	154	countdown	25069
20260918-163220	ceiling_25	1	19888	826288	154	flag_src	0
20260918-163220	ceiling_25	1	19888	826288	155	countdown	21309
20260918-163220	ceiling_25	1	19888	826288	155	flag_src	0
20260918-163220	ceiling_25	1	19888	826288	156	countdown	23845
20260918-163220	ceiling_25	1	19888	826288	156	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	157	countdown	23628
20260918-163220	ceiling_25	1	19888	826288	157	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	158	countdown	22731
20260918-163220	ceiling_25	1	19888	826288	158	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	159	countdown	24578
20260918-163220	ceiling_25	1	19888	826288	159	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	160	countdown	24918
20260918-163220	ceiling_25	1	19888	826288	160	flag_src	1
20260918-163220	ceiling_25	1	19888	826288	161	countdown	17456
20260918-163220	ceiling_25	1	19888	826288	161	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	clock	fps_achieved	328
20260918-163220	ceiling_25	1	23039	829439	clock	units_active	55
20260918-163220	ceiling_25	1	23039	829439	clock	popups	0
20260918-163220	ceiling_25	1	23039	829439	clock	paused	1
20260918-163220	ceiling_25	1	23039	829439	clock	ticks_per_wall_s	268.8
20260918-163220	ceiling_25	1	23039	829439	162	arrival_species	TROLL
20260918-163220	ceiling_25	1	23039	829439	162	arrival_countdown	28007
20260918-163220	ceiling_25	1	23039	829439	160	death	CROCODILE_CAVE
20260918-163220	ceiling_25	1	23039	829439	126	countdown	20666
20260918-163220	ceiling_25	1	23039	829439	126	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	127	countdown	18417
20260918-163220	ceiling_25	1	23039	829439	127	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	128	countdown	16558
20260918-163220	ceiling_25	1	23039	829439	128	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	129	countdown	17213
20260918-163220	ceiling_25	1	23039	829439	129	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	130	countdown	22067
20260918-163220	ceiling_25	1	23039	829439	130	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	131	countdown	18092
20260918-163220	ceiling_25	1	23039	829439	131	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	132	countdown	19913
20260918-163220	ceiling_25	1	23039	829439	132	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	133	countdown	20296
20260918-163220	ceiling_25	1	23039	829439	133	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	134	countdown	21305
20260918-163220	ceiling_25	1	23039	829439	134	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	135	countdown	20046
20260918-163220	ceiling_25	1	23039	829439	135	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	136	countdown	19068
20260918-163220	ceiling_25	1	23039	829439	136	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	137	countdown	18755
20260918-163220	ceiling_25	1	23039	829439	137	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	138	countdown	15318
20260918-163220	ceiling_25	1	23039	829439	138	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	139	countdown	18974
20260918-163220	ceiling_25	1	23039	829439	139	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	140	countdown	15095
20260918-163220	ceiling_25	1	23039	829439	140	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	141	countdown	20951
20260918-163220	ceiling_25	1	23039	829439	141	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	142	countdown	15253
20260918-163220	ceiling_25	1	23039	829439	142	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	143	countdown	23098
20260918-163220	ceiling_25	1	23039	829439	143	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	144	countdown	20816
20260918-163220	ceiling_25	1	23039	829439	144	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	145	countdown	22017
20260918-163220	ceiling_25	1	23039	829439	145	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	146	countdown	15291
20260918-163220	ceiling_25	1	23039	829439	146	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	147	countdown	15754
20260918-163220	ceiling_25	1	23039	829439	147	flag_src	1
20260918-163220	ceiling_25	1	23039	829439	148	countdown	23024
