run	arm	rep	tick	abs_tick	unit	species	report	year	time	text
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	5	2	77515	The stray dog scratches the groundhog in the right front paw, lightly tapping the target!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	6	2	77523	The stray dog misses the groundhog!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	7	2	77528	The stray dog bites the groundhog in the left rear leg, tearing the muscle!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	8	2	77528	The stray dog bites the groundhog in the right rear paw, tearing apart the skin!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	9	2	77528	The stray dog charges at the groundhog!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	10	2	77528	The stray dog collides with the groundhog!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	11	2	77528	The groundhog is knocked over and tumbles backward!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	16	2	77534	The stray dog bites the groundhog in the right front paw, tearing apart the skin!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	17	2	77535	The stray dog bites the groundhog in the right front paw, tearing the muscle!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	18	2	77535	The stray dog latches on firmly!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	19	2	77536	The groundhog misses the stray dog!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	20	2	77540	The stray dog shakes the groundhog around by the right front paw and the severed part sails off in an arc!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	21	2	77540	The right front paw is ripped away and remains in The stray dog's grip!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	22	2	77542	The stray dog lets the groundhog right front paw drop away as She attacks.
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	23	2	77542	The stray dog bites the groundhog in the right rear paw, tearing apart the fat!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	24	2	77542	The stray dog scratches the groundhog in the lower body, tearing the fat and bruising the muscle and bruising the guts!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	25	2	77542	The groundhog looks sick!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	26	2	77547	The stray dog bites the groundhog in the lower body, tearing the muscle and bruising the guts!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	27	2	77547	The stray dog scratches the groundhog in the left rear paw, tearing the fat and bruising the muscle!
20260918-163512	ceiling_12	1	79109	885509	183	GROUNDHOG	28	2	77547	The force twists the left rear leg!
20260918-163512	ceiling_12	2	104541	910941	202	BIRD_OWL_GREAT_HORNED	9	2	101880	The great horned owl attacks the kangaroo buck but He jumps away!
20260918-163512	ceiling_12	2	104541	910941	202	BIRD_OWL_GREAT_HORNED	10	2	102004	The great horned owl misses the kangaroo buck!
20260918-163512	ceiling_12	2	104541	910941	208	KANGAROO	9	2	101880	The great horned owl attacks the kangaroo buck but He jumps away!
20260918-163512	ceiling_12	2	104541	910941	208	KANGAROO	10	2	102004	The great horned owl misses the kangaroo buck!
