run	arm	rep	token	seasons	allowed
20260918-163512	ceiling_12	1	cavern:CRUNDLE	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:ELK_BIRD	0,1,2,3	1
20260918-163512	ceiling_12	1	BIRD_OWL_GREAT_HORNED	0,1,2,3	1
20260918-163512	ceiling_12	1	BIRD_BLUEJAY	2,3	1
20260918-163512	ceiling_12	1	cavern:CROCODILE_CAVE	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:VORACIOUS_CAVE_CRAWLER	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:SPIDER_CAVE_GIANT	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:TOAD_GIANT_CAVE	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:MOLE_GIANT	0,1,2,3	1
20260918-163512	ceiling_12	1	TOAD	0,1	1
20260918-163512	ceiling_12	1	MOSQUITO	0,1	1
20260918-163512	ceiling_12	1	BIRD_EMU	2,3	1
20260918-163512	ceiling_12	1	SKUNK	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:BIRD_SWALLOW_CAVE	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:RAT_GIANT	0,1,2,3	1
20260918-163512	ceiling_12	1	KANGAROO	0,1,2,3	1
20260918-163512	ceiling_12	1	HAMSTER	0,1	1
20260918-163512	ceiling_12	1	cavern:GIANT_EARTHWORM	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:SPIDER_CAVE	0,1,2,3	1
20260918-163512	ceiling_12	1	RAT	0,1	1
20260918-163512	ceiling_12	1	BIRD_CARDINAL	2,3	1
20260918-163512	ceiling_12	1	BIRD_LOVEBIRD_PEACH-FACED	2,3	1
20260918-163512	ceiling_12	1	cavern:GREEN_DEVOURER	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:CAVE_BLOB	0,1,2,3	1
20260918-163512	ceiling_12	1	COUGAR	0,1	1
20260918-163512	ceiling_12	1	cavern:OLM_GIANT	0,1,2,3	1
20260918-163512	ceiling_12	1	FLY	0,1	1
20260918-163512	ceiling_12	1	BIRD_RAVEN	0,1,2,3	1
20260918-163512	ceiling_12	1	DINGO	0,1	1
20260918-163512	ceiling_12	1	cavern:CAP_HOPPER	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:RAT_LARGE	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:GREMLIN	0,1,2,3	1
20260918-163512	ceiling_12	1	BIRD_MAGPIE	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:BIRD_SWALLOW_CAVE_GIANT	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:OLM	0,1,2,3	1
20260918-163512	ceiling_12	1	GROUNDHOG	0,1,2,3	1
20260918-163512	ceiling_12	1	BIRD_KESTREL	0,1,2,3	1
20260918-163512	ceiling_12	1	WOMBAT	2,3	1
20260918-163512	ceiling_12	1	cavern:IMP_FIRE	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:TROGLODYTE	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:PLUMP_HELMET_MAN	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:MAGMA_CRAB	0,1,2,3	1
20260918-163512	ceiling_12	1	WOLF	2,3	1
20260918-163512	ceiling_12	1	POND_TURTLE	0,1	1
20260918-163512	ceiling_12	1	cavern:RUTHERER	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:DRALTHA	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:POND_GRABBER	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:MOLE_DOG_NAKED	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:JABBERER	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:BAT	0,1	1
20260918-163512	ceiling_12	1	cavern:CAVE_FLOATER	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:MOLEMARIAN	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:FISH_CAVE	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:LOBSTER_CAVE	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:FLESH_BALL	0,1,2,3	1
20260918-163512	ceiling_12	1	BIRD_KAKAPO	2,3	1
20260918-163512	ceiling_12	1	PORCUPINE	0,1,2,3	1
20260918-163512	ceiling_12	1	cavern:HELMET_SNAKE	0,1,2,3	1
20260918-163512	ceiling_12	1	BADGER	2,3	1
20260918-163512	ceiling_12	2	cavern:CRUNDLE	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:ELK_BIRD	0,1,2,3	1
20260918-163512	ceiling_12	2	BIRD_OWL_GREAT_HORNED	0,1,2,3	1
20260918-163512	ceiling_12	2	BIRD_BLUEJAY	2,3	1
20260918-163512	ceiling_12	2	cavern:CROCODILE_CAVE	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:VORACIOUS_CAVE_CRAWLER	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:SPIDER_CAVE_GIANT	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:TOAD_GIANT_CAVE	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:MOLE_GIANT	0,1,2,3	1
20260918-163512	ceiling_12	2	TOAD	0,1	1
20260918-163512	ceiling_12	2	MOSQUITO	0,1	1
20260918-163512	ceiling_12	2	BIRD_EMU	2,3	1
20260918-163512	ceiling_12	2	SKUNK	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:BIRD_SWALLOW_CAVE	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:RAT_GIANT	0,1,2,3	1
20260918-163512	ceiling_12	2	KANGAROO	0,1,2,3	1
20260918-163512	ceiling_12	2	HAMSTER	0,1	1
20260918-163512	ceiling_12	2	cavern:GIANT_EARTHWORM	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:SPIDER_CAVE	0,1,2,3	1
20260918-163512	ceiling_12	2	RAT	0,1	1
20260918-163512	ceiling_12	2	BIRD_CARDINAL	2,3	1
20260918-163512	ceiling_12	2	BIRD_LOVEBIRD_PEACH-FACED	2,3	1
20260918-163512	ceiling_12	2	cavern:GREEN_DEVOURER	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:CAVE_BLOB	0,1,2,3	1
20260918-163512	ceiling_12	2	COUGAR	0,1	1
20260918-163512	ceiling_12	2	cavern:OLM_GIANT	0,1,2,3	1
20260918-163512	ceiling_12	2	FLY	0,1	1
20260918-163512	ceiling_12	2	BIRD_RAVEN	0,1,2,3	1
20260918-163512	ceiling_12	2	DINGO	0,1	1
20260918-163512	ceiling_12	2	cavern:CAP_HOPPER	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:RAT_LARGE	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:GREMLIN	0,1,2,3	1
20260918-163512	ceiling_12	2	BIRD_MAGPIE	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:BIRD_SWALLOW_CAVE_GIANT	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:OLM	0,1,2,3	1
20260918-163512	ceiling_12	2	GROUNDHOG	0,1,2,3	1
20260918-163512	ceiling_12	2	BIRD_KESTREL	0,1,2,3	1
20260918-163512	ceiling_12	2	WOMBAT	2,3	1
20260918-163512	ceiling_12	2	cavern:IMP_FIRE	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:TROGLODYTE	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:PLUMP_HELMET_MAN	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:MAGMA_CRAB	0,1,2,3	1
20260918-163512	ceiling_12	2	WOLF	2,3	1
20260918-163512	ceiling_12	2	POND_TURTLE	0,1	1
20260918-163512	ceiling_12	2	cavern:RUTHERER	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:DRALTHA	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:POND_GRABBER	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:MOLE_DOG_NAKED	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:JABBERER	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:BAT	0,1	1
20260918-163512	ceiling_12	2	cavern:CAVE_FLOATER	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:MOLEMARIAN	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:FISH_CAVE	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:LOBSTER_CAVE	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:FLESH_BALL	0,1,2,3	1
20260918-163512	ceiling_12	2	BIRD_KAKAPO	2,3	1
20260918-163512	ceiling_12	2	PORCUPINE	0,1,2,3	1
20260918-163512	ceiling_12	2	cavern:HELMET_SNAKE	0,1,2,3	1
20260918-163512	ceiling_12	2	BADGER	2,3	1
20260918-163512	no_ceiling	1	cavern:CRUNDLE	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:ELK_BIRD	0,1,2,3	1
20260918-163512	no_ceiling	1	BIRD_OWL_GREAT_HORNED	0,1,2,3	1
20260918-163512	no_ceiling	1	BIRD_BLUEJAY	2,3	1
20260918-163512	no_ceiling	1	cavern:CROCODILE_CAVE	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:VORACIOUS_CAVE_CRAWLER	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:SPIDER_CAVE_GIANT	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:TOAD_GIANT_CAVE	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:MOLE_GIANT	0,1,2,3	1
20260918-163512	no_ceiling	1	TOAD	0,1	1
20260918-163512	no_ceiling	1	MOSQUITO	0,1	1
20260918-163512	no_ceiling	1	BIRD_EMU	2,3	1
20260918-163512	no_ceiling	1	SKUNK	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:BIRD_SWALLOW_CAVE	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:RAT_GIANT	0,1,2,3	1
20260918-163512	no_ceiling	1	KANGAROO	0,1,2,3	1
20260918-163512	no_ceiling	1	HAMSTER	0,1	1
20260918-163512	no_ceiling	1	cavern:GIANT_EARTHWORM	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:SPIDER_CAVE	0,1,2,3	1
20260918-163512	no_ceiling	1	RAT	0,1	1
20260918-163512	no_ceiling	1	BIRD_CARDINAL	2,3	1
20260918-163512	no_ceiling	1	BIRD_LOVEBIRD_PEACH-FACED	2,3	1
20260918-163512	no_ceiling	1	cavern:GREEN_DEVOURER	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:CAVE_BLOB	0,1,2,3	1
20260918-163512	no_ceiling	1	COUGAR	0,1	1
20260918-163512	no_ceiling	1	cavern:OLM_GIANT	0,1,2,3	1
20260918-163512	no_ceiling	1	FLY	0,1	1
20260918-163512	no_ceiling	1	BIRD_RAVEN	0,1,2,3	1
20260918-163512	no_ceiling	1	DINGO	0,1	1
20260918-163512	no_ceiling	1	cavern:CAP_HOPPER	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:RAT_LARGE	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:GREMLIN	0,1,2,3	1
20260918-163512	no_ceiling	1	BIRD_MAGPIE	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:BIRD_SWALLOW_CAVE_GIANT	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:OLM	0,1,2,3	1
20260918-163512	no_ceiling	1	GROUNDHOG	0,1,2,3	1
20260918-163512	no_ceiling	1	BIRD_KESTREL	0,1,2,3	1
20260918-163512	no_ceiling	1	WOMBAT	2,3	1
20260918-163512	no_ceiling	1	cavern:IMP_FIRE	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:TROGLODYTE	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:PLUMP_HELMET_MAN	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:MAGMA_CRAB	0,1,2,3	1
20260918-163512	no_ceiling	1	WOLF	2,3	1
20260918-163512	no_ceiling	1	POND_TURTLE	0,1	1
20260918-163512	no_ceiling	1	cavern:RUTHERER	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:DRALTHA	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:POND_GRABBER	0,1,2,3	1
20260918-163512	no_ceiling	1	cavern:MOLE_DOG_NAKED	0,1,2,3	1
