run	arm	rep	tick	abs_tick	event	subject	detail
20260921-150212	trickle	1	16800	823200	baseline	wild_present	13
20260921-150212	trickle	1	16800	823200	present_at_start	126	ELK_BIRD ref6=29,20,-1,25,-1,21 countdown=26907 flag_src=1
20260921-150212	trickle	1	16800	823200	present_at_start	127	ELK_BIRD ref6=29,20,-1,25,-1,21 countdown=24656 flag_src=1
20260921-150212	trickle	1	16800	823200	present_at_start	128	ELK_BIRD ref6=29,20,-1,25,-1,21 countdown=22797 flag_src=1
20260921-150212	trickle	1	16800	823200	present_at_start	129	ELK_BIRD ref6=29,20,-1,25,-1,21 countdown=23452 flag_src=1
20260921-150212	trickle	1	16800	823200	present_at_start	130	ELK_BIRD ref6=29,20,-1,25,-1,21 countdown=28306 flag_src=1
20260921-150212	trickle	1	16800	823200	present_at_start	131	ELK_BIRD ref6=29,20,-1,25,-1,21 countdown=24331 flag_src=1
20260921-150212	trickle	1	16800	823200	present_at_start	132	ELK_BIRD ref6=29,20,-1,25,-1,21 countdown=26152 flag_src=1
20260921-150212	trickle	1	16800	823200	present_at_start	133	ELK_BIRD ref6=29,20,-1,25,-1,21 countdown=26535 flag_src=1
20260921-150212	trickle	1	16800	823200	present_at_start	134	MAGMA_CRAB ref6=29,20,-1,34,-1,0 countdown=27544 flag_src=1
20260921-150212	trickle	1	16800	823200	present_at_start	135	MAGMA_CRAB ref6=29,20,-1,34,-1,0 countdown=26285 flag_src=1
20260921-150212	trickle	1	16800	823200	present_at_start	136	MAGMA_CRAB ref6=29,20,-1,34,-1,0 countdown=25307 flag_src=1
20260921-150212	trickle	1	16800	823200	present_at_start	137	MAGMA_CRAB ref6=29,20,-1,34,-1,0 countdown=24994 flag_src=1
20260921-150212	trickle	1	16800	823200	present_at_start	138	MAGMA_CRAB ref6=29,20,-1,34,-1,0 countdown=21557 flag_src=1
20260921-150212	trickle	1	16800	823200	manipulation	local sw=reqscript('seasonal-wildlife'); local cfg=sw.loadConfig(); if not cfg.initialized then sw.captureDefault(cfg) end; local pool=sw.buildPool(cfg); local n=0; for _,e in ipairs(pool) do if e.inEmbark and sw.defaultAllow(e) then cfg.allow[e.key]=true; n=n+1 end end; local a,f=sw.assignFromMatrix(cfg,pool); for _,t in ipairs({'COUGAR','DINGO','WOLF','BIRD_EMU','BADGER','WOMBAT','PORCUPINE','KANGAROO','GROUNDHOG','SKUNK','BIRD_RAVEN'}) do cfg.assign[t]={0,1,2,3}; cfg.allow[t]=true end; cfg.groups.enabled=true; cfg.groups.coupling=false; cfg.groups.pack=0; cfg.groups.cohesion=true; cfg.groups.max_concurrent=4; cfg.ecology.enabled=true; cfg.patterns.land='trickle'; sw.saveConfig(cfg); local act=sw.applyLive(cfg, df.global.cur_season); sw.saveConfig(cfg); sw.enableSched(); print(('t8 roster: allowed %d assigned %d thin %d applied %d; groups on, coupling off, pack raw, max 4, ecology on, pattern land=trickle; rotation enabled'):format(n,a,f,act))	t8 roster: allowed 24 assigned 24 thin 0 applied 40; groups on, coupling off, pack raw, max 4, ecology on, pattern land=trickle; rotation enabled
20260921-150212	trickle	1	16800	823200	manipulation	local ok,out=pcall(dfhack.run_command_silent,'seasonal-wildlife','pattern'); print((out or ''):gsub('\n',' | '))	patterns: land=trickle  cavern=steady |  1
20260921-150212	trickle	1	16800	823200	manipulation	local sw=reqscript('seasonal-wildlife'); local cfg=sw.loadConfig(); local pool=sw.buildPool(cfg); local o={}; for _,e in ipairs(pool) do if e.inEmbark and e.layer=='land' then o[#o+1]=e.token..'='..e.cat end end; table.sort(o); print('t8 cats: '..table.concat(o,' '))	t8 cats: BADGER=predator BIRD_BLUEJAY=bird BIRD_CARDINAL=bird BIRD_EMU=prey BIRD_KAKAPO=prey BIRD_KESTREL=bird BIRD_LOVEBIRD_PEACH-FACED=bird BIRD_MAGPIE=bird BIRD_OWL_GREAT_HORNED=bird BIRD_RAVEN=bird COUGAR=predator DINGO=predator FLY=vermin GROUNDHOG=prey HAMSTER=vermin KANGAROO=prey MOSQUITO=vermin POND_TURTLE=vermin PORCUPINE=prey RAT=vermin SKUNK=prey TOAD=vermin WOLF=predator WOMBAT=prey
20260921-150212	trickle	1	18016	824416	arrival	139	BIRD_RAVEN caste=FEMALE ref6=29,20,-1,-1,-1,53 layer=surface countdown=19134 vanish=0 flag_src=0 flag_nf=0 pos=68,187,111 listed_at=824416
20260921-150212	trickle	1	18016	824416	arrival	140	BIRD_RAVEN caste=FEMALE ref6=29,20,-1,-1,-1,53 layer=surface countdown=28721 vanish=0 flag_src=0 flag_nf=0 pos=75,184,114 listed_at=824416
20260921-150212	trickle	1	18016	824416	arrival	141	TROGLODYTE caste=MALE ref6=29,20,-1,8,-1,19 layer=cavern countdown=21633 vanish=0 flag_src=1 flag_nf=0 pos=147,13,49 listed_at=824416
20260921-150212	trickle	1	18016	824416	arrival	142	TROGLODYTE caste=FEMALE ref6=29,20,-1,8,-1,19 layer=cavern countdown=22823 vanish=0 flag_src=1 flag_nf=0 pos=161,14,45 listed_at=824416
20260921-150212	trickle	1	18016	824416	arrival	143	TROGLODYTE caste=MALE ref6=29,20,-1,8,-1,19 layer=cavern countdown=27434 vanish=0 flag_src=1 flag_nf=0 pos=152,7,48 listed_at=824416
