run	arm	rep	tick	abs_tick	subject	metric	value
20260921-155444	dawn	1	16800	823200	clock	year	2
20260921-155444	dawn	1	16800	823200	clock	tick	16800
20260921-155444	dawn	1	16800	823200	clock	season	0
20260921-155444	dawn	1	16800	823200	clock	paused	1
20260921-155444	dawn	1	16800	823200	clock	fps_cap	1000.0
20260921-155444	dawn	1	16800	823200	clock	fps_achieved	121
20260921-155444	dawn	1	16800	823200	clock	gfps_cap	10.0
20260921-155444	dawn	1	16800	823200	clock	units_active	31
20260921-155444	dawn	1	16800	823200	clock	popups	0
20260921-155444	dawn	1	16800	823200	clock	map	1
20260921-155444	dawn	1	17938	824338	clock	fps_achieved	313
20260921-155444	dawn	1	17938	824338	clock	units_active	72
20260921-155444	dawn	1	17938	824338	clock	popups	0
20260921-155444	dawn	1	17938	824338	clock	paused	1
20260921-155444	dawn	1	17938	824338	clock	ticks_per_wall_s	68.8
20260921-155444	dawn	1	17938	824338	139	arrival_species	PORCUPINE
20260921-155444	dawn	1	17938	824338	139	arrival_countdown	25704
20260921-155444	dawn	1	17938	824338	140	arrival_species	TOAD_GIANT_CAVE
20260921-155444	dawn	1	17938	824338	140	arrival_countdown	22757
20260921-155444	dawn	1	17938	824338	141	arrival_species	CRUNDLE
20260921-155444	dawn	1	17938	824338	141	arrival_countdown	27294
20260921-155444	dawn	1	17938	824338	142	arrival_species	CRUNDLE
20260921-155444	dawn	1	17938	824338	142	arrival_countdown	28518
20260921-155444	dawn	1	17938	824338	143	arrival_species	CRUNDLE
20260921-155444	dawn	1	17938	824338	143	arrival_countdown	22256
20260921-155444	dawn	1	17938	824338	144	arrival_species	CRUNDLE
20260921-155444	dawn	1	17938	824338	144	arrival_countdown	21207
20260921-155444	dawn	1	17938	824338	145	arrival_species	CRUNDLE
20260921-155444	dawn	1	17938	824338	145	arrival_countdown	20223
20260921-155444	dawn	1	17938	824338	146	arrival_species	CRUNDLE
20260921-155444	dawn	1	17938	824338	146	arrival_countdown	25594
20260921-155444	dawn	1	17938	824338	147	arrival_species	CRUNDLE
20260921-155444	dawn	1	17938	824338	147	arrival_countdown	27119
20260921-155444	dawn	1	17938	824338	148	arrival_species	CRUNDLE
20260921-155444	dawn	1	17938	824338	148	arrival_countdown	20936
20260921-155444	dawn	1	17938	824338	149	arrival_species	CRUNDLE
20260921-155444	dawn	1	17938	824338	149	arrival_countdown	23270
20260921-155444	dawn	1	17938	824338	150	arrival_species	CRUNDLE
20260921-155444	dawn	1	17938	824338	150	arrival_countdown	24129
20260921-155444	dawn	1	17938	824338	151	arrival_species	CRUNDLE
20260921-155444	dawn	1	17938	824338	151	arrival_countdown	28200
20260921-155444	dawn	1	17938	824338	152	arrival_species	CRUNDLE
20260921-155444	dawn	1	17938	824338	152	arrival_countdown	27192
20260921-155444	dawn	1	17938	824338	153	arrival_species	CRUNDLE
20260921-155444	dawn	1	17938	824338	153	arrival_countdown	28153
20260921-155444	dawn	1	17938	824338	154	arrival_species	CRUNDLE
20260921-155444	dawn	1	17938	824338	154	arrival_countdown	29302
20260921-155444	dawn	1	17938	824338	161	arrival_species	DEMON_9
20260921-155444	dawn	1	17938	824338	161	arrival_countdown	22260
20260921-155444	dawn	1	17938	824338	162	arrival_species	BIRD_RAVEN
20260921-155444	dawn	1	17938	824338	162	arrival_countdown	20343
20260921-155444	dawn	1	17938	824338	163	arrival_species	BIRD_RAVEN
20260921-155444	dawn	1	17938	824338	163	arrival_countdown	26262
20260921-155444	dawn	1	17938	824338	164	arrival_species	TROGLODYTE
20260921-155444	dawn	1	17938	824338	164	arrival_countdown	25462
20260921-155444	dawn	1	17938	824338	165	arrival_species	TROGLODYTE
20260921-155444	dawn	1	17938	824338	165	arrival_countdown	25310
20260921-155444	dawn	1	17938	824338	166	arrival_species	TROGLODYTE
20260921-155444	dawn	1	17938	824338	166	arrival_countdown	25395
20260921-155444	dawn	1	17938	824338	167	arrival_species	TROGLODYTE
20260921-155444	dawn	1	17938	824338	167	arrival_countdown	24192
20260921-155444	dawn	1	17938	824338	168	arrival_species	TROGLODYTE
20260921-155444	dawn	1	17938	824338	168	arrival_countdown	22479
20260921-155444	dawn	1	17938	824338	169	arrival_species	TROGLODYTE
20260921-155444	dawn	1	17938	824338	169	arrival_countdown	21112
20260921-155444	dawn	1	17938	824338	170	arrival_species	DEMON_10
20260921-155444	dawn	1	17938	824338	170	arrival_countdown	27636
20260921-155444	dawn	1	17938	824338	171	arrival_species	DEMON_10
20260921-155444	dawn	1	17938	824338	171	arrival_countdown	26399
20260921-155444	dawn	1	17938	824338	172	arrival_species	DEMON_10
20260921-155444	dawn	1	17938	824338	172	arrival_countdown	20488
20260921-155444	dawn	1	17938	824338	173	arrival_species	DEMON_10
20260921-155444	dawn	1	17938	824338	173	arrival_countdown	25913
20260921-155444	dawn	1	17938	824338	174	arrival_species	ELK_BIRD
20260921-155444	dawn	1	17938	824338	174	arrival_countdown	28835
20260921-155444	dawn	1	17938	824338	175	arrival_species	ELK_BIRD
20260921-155444	dawn	1	17938	824338	175	arrival_countdown	24533
20260921-155444	dawn	1	17938	824338	176	arrival_species	ELK_BIRD
20260921-155444	dawn	1	17938	824338	176	arrival_countdown	25679
20260921-155444	dawn	1	17938	824338	177	arrival_species	ELK_BIRD
20260921-155444	dawn	1	17938	824338	177	arrival_countdown	25044
20260921-155444	dawn	1	17938	824338	178	arrival_species	ELK_BIRD
20260921-155444	dawn	1	17938	824338	178	arrival_countdown	27324
20260921-155444	dawn	1	17938	824338	179	arrival_species	BIRD_KESTREL
20260921-155444	dawn	1	17938	824338	179	arrival_countdown	27907
20260921-155444	dawn	1	17938	824338	126	countdown	25769
20260921-155444	dawn	1	17938	824338	126	flag_src	0
20260921-155444	dawn	1	17938	824338	127	countdown	23518
20260921-155444	dawn	1	17938	824338	127	flag_src	0
20260921-155444	dawn	1	17938	824338	128	countdown	21659
20260921-155444	dawn	1	17938	824338	128	flag_src	0
20260921-155444	dawn	1	17938	824338	129	countdown	22314
20260921-155444	dawn	1	17938	824338	129	flag_src	0
20260921-155444	dawn	1	17938	824338	130	countdown	27168
20260921-155444	dawn	1	17938	824338	130	flag_src	0
20260921-155444	dawn	1	17938	824338	131	countdown	23193
