arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
dawn	1	1138	1138	PORCUPINE	29,20,-1,-1,-1,90	surface	1	25704	25704	1	0	0	27672	27672	True
dawn	1	1138	1138	TOAD_GIANT_CAVE	29,20,-1,8,-1,12	cavern	1	22757	22757	0	1	0			True
dawn	1	1138	1138	CRUNDLE	29,20,-1,13,-1,9	cavern	20	19795	29302	20	0	0	21970	32329	True
dawn	1	1138	1138	DEMON_9	29,20,-1,43,-1,2	deep	1	22260	22260	1	0	0	24143	24143	True
dawn	1	1138	1138	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	2	20343	26262	2	0	0	24143	27672	True
dawn	1	1138	1138	TROGLODYTE	29,20,-1,8,-1,19	cavern	6	21112	25462	5	1	0	25357	30062	True
dawn	1	1138	1138	DEMON_10	29,20,-1,43,-1,5	deep	4	20488	27636	4	0	0	28846	28846	True
dawn	1	1138	1138	ELK_BIRD	29,20,-1,25,-1,21	cavern	5	24533	28835	5	0	0	30062	30062	True
dawn	1	1138	1138	BIRD_KESTREL	28,19,-1,-1,-1,60	surface	1	27907	27907	1	0	0	28846	28846	True
dawn	1	16618	16618	GROUNDHOG	29,20,-1,-1,-1,80	surface	3	21230	26016	3	0	0	24543	28075	True
dawn	1	29984	29984	GORLAK	29,20,-1,8,-1,28	cavern	1	19973	19973	1	0	0	22516	22516	True
dawn	1	29984	29984	DEMON_2	28,20,-1,44,-1,1	deep	2	21246	25580	2	0	0	23713	26958	True
dawn	1	31200	31200	BIRD_SWALLOW_CAVE_GIANT	29,20,-1,8,-1,18	cavern	1	23556	23556	1	0	0	29114	29114	True
dawn	1	31200	31200	PLUMP_HELMET_MAN	29,20,-1,25,-1,13	cavern	3	25023	27498	3	0	0	28018	28018	True
dawn	1	32333	33467	TROLL	29,20,-1,13,-1,32	cavern	1	22297	22297	1	0	0	25752	25752	True
dawn	1	33467	34575	REACHER	29,20,-1,13,-1,30	cavern	1	25875	25875	1	0	0	27988	27988	True
dawn	1	35635	35635	PORCUPINE	29,20,-1,-1,-1,90	surface	1	21693	21693	1	0	0	22450	22450	True
dawn	1	35635	35635	BIRD_RAVEN	28,19,-1,-1,-1,53	surface	3	20777	27194	3	0	0	22450	28011	True
dawn	1	46981	46981	BADGER	29,20,-1,-1,-1,82	surface	5	19898	28365	5	0	0	20037	28886	True
dawn	1	52500	52500	TROGLODYTE	29,20,-1,8,-1,19	cavern	9	19906	28601	9	0	0	23367	32409	True
dawn	1	53697	53697	DEMON_3	29,20,-1,43,-1,0	deep	2	21582	22641	2	0	0	22170	24528	True
dawn	1	58085	58085	TROGLODYTE	29,20,-1,13,-1,19	cavern	9	20765	28650	9	0	0	21315	31266	True
dawn	1	59218	59218	VORACIOUS_CAVE_CRAWLER	29,20,-1,25,-1,17	cavern	2	27233	27609	2	0	0	27872	28994	True
dawn	1	69368	69368	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	6	22350	28952	6	0	0	26632	30016	True
dawn	1	75867	75867	DEMON_4	28,20,-1,44,-1,2	deep	1	20151	20151	1	0	0	22414	22414	True
dawn	1	78225	78225	DEMON_18	29,20,-1,43,-1,1	deep	4	19783	28936	1	0	3	20056	20056	True
dawn	1	81572	81572	CROCODILE_CAVE	29,20,-1,8,-1,10	cavern	1	23724	23724	0	0	1			True
dawn	1	85985	85985	TROGLODYTE	29,20,-1,8,-1,19	cavern	6	21620	26173	0	2	4			True
dawn	1	87090	87090	OLM_GIANT	29,21,-1,13,-1,13	cavern	1	29052	29052	0	0	1			True
dawn	1	87090	87090	TROLL	29,20,-1,25,-1,27	cavern	1	24994	24994	0	0	1			True
