run	arm	rep	tick	abs_tick	subject	metric	value
20260921-161410	dawn	1	16800	823200	clock	year	2
20260921-161410	dawn	1	16800	823200	clock	tick	16800
20260921-161410	dawn	1	16800	823200	clock	season	0
20260921-161410	dawn	1	16800	823200	clock	paused	1
20260921-161410	dawn	1	16800	823200	clock	fps_cap	1000.0
20260921-161410	dawn	1	16800	823200	clock	fps_achieved	183
20260921-161410	dawn	1	16800	823200	clock	gfps_cap	10.0
20260921-161410	dawn	1	16800	823200	clock	units_active	31
20260921-161410	dawn	1	16800	823200	clock	popups	0
20260921-161410	dawn	1	16800	823200	clock	map	1
20260921-161410	dawn	1	17880	824280	clock	fps_achieved	272
20260921-161410	dawn	1	17880	824280	clock	units_active	97
20260921-161410	dawn	1	17880	824280	clock	popups	0
20260921-161410	dawn	1	17880	824280	clock	paused	1
20260921-161410	dawn	1	17880	824280	clock	ticks_per_wall_s	55.6
20260921-161410	dawn	1	17880	824280	139	arrival_species	BIRD_OWL_GREAT_HORNED
20260921-161410	dawn	1	17880	824280	139	arrival_countdown	22181
20260921-161410	dawn	1	17880	824280	140	arrival_species	GORLAK
20260921-161410	dawn	1	17880	824280	140	arrival_countdown	19965
20260921-161410	dawn	1	17880	824280	141	arrival_species	CRUNDLE
20260921-161410	dawn	1	17880	824280	141	arrival_countdown	22377
20260921-161410	dawn	1	17880	824280	142	arrival_species	CRUNDLE
20260921-161410	dawn	1	17880	824280	142	arrival_countdown	27402
20260921-161410	dawn	1	17880	824280	143	arrival_species	CRUNDLE
20260921-161410	dawn	1	17880	824280	143	arrival_countdown	23694
20260921-161410	dawn	1	17880	824280	144	arrival_species	CRUNDLE
20260921-161410	dawn	1	17880	824280	144	arrival_countdown	28529
20260921-161410	dawn	1	17880	824280	145	arrival_species	CRUNDLE
20260921-161410	dawn	1	17880	824280	145	arrival_countdown	29210
20260921-161410	dawn	1	17880	824280	146	arrival_species	CRUNDLE
20260921-161410	dawn	1	17880	824280	146	arrival_countdown	26503
20260921-161410	dawn	1	17880	824280	147	arrival_species	CRUNDLE
20260921-161410	dawn	1	17880	824280	147	arrival_countdown	21628
20260921-161410	dawn	1	17880	824280	148	arrival_species	CRUNDLE
20260921-161410	dawn	1	17880	824280	148	arrival_countdown	28908
20260921-161410	dawn	1	17880	824280	149	arrival_species	CRUNDLE
20260921-161410	dawn	1	17880	824280	149	arrival_countdown	20854
20260921-161410	dawn	1	17880	824280	150	arrival_species	CRUNDLE
20260921-161410	dawn	1	17880	824280	150	arrival_countdown	25491
20260921-161410	dawn	1	17880	824280	157	arrival_species	VORACIOUS_CAVE_CRAWLER
20260921-161410	dawn	1	17880	824280	157	arrival_countdown	27839
20260921-161410	dawn	1	17880	824280	158	arrival_species	DEMON_10
20260921-161410	dawn	1	17880	824280	158	arrival_countdown	19314
20260921-161410	dawn	1	17880	824280	159	arrival_species	DEMON_10
20260921-161410	dawn	1	17880	824280	159	arrival_countdown	19303
20260921-161410	dawn	1	17880	824280	160	arrival_species	BIRD_RAVEN
20260921-161410	dawn	1	17880	824280	160	arrival_countdown	28307
20260921-161410	dawn	1	17880	824280	161	arrival_species	BIRD_RAVEN
20260921-161410	dawn	1	17880	824280	161	arrival_countdown	23445
20260921-161410	dawn	1	17880	824280	162	arrival_species	BIRD_RAVEN
20260921-161410	dawn	1	17880	824280	162	arrival_countdown	26924
20260921-161410	dawn	1	17880	824280	163	arrival_species	BIRD_RAVEN
20260921-161410	dawn	1	17880	824280	163	arrival_countdown	22460
20260921-161410	dawn	1	17880	824280	164	arrival_species	BIRD_RAVEN
20260921-161410	dawn	1	17880	824280	164	arrival_countdown	28628
20260921-161410	dawn	1	17880	824280	165	arrival_species	BIRD_RAVEN
20260921-161410	dawn	1	17880	824280	165	arrival_countdown	27744
20260921-161410	dawn	1	17880	824280	166	arrival_species	BIRD_RAVEN
20260921-161410	dawn	1	17880	824280	166	arrival_countdown	29026
20260921-161410	dawn	1	17880	824280	167	arrival_species	BIRD_RAVEN
20260921-161410	dawn	1	17880	824280	167	arrival_countdown	20391
20260921-161410	dawn	1	17880	824280	168	arrival_species	BIRD_RAVEN
