run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260921-161410	dawn	1	16800	823200	126	ELK_BIRD	MALE	30	52	24	29,20,-1,25,-1,21	cavern	26907	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	16800	823200	127	ELK_BIRD	FEMALE	29	50	24	29,20,-1,25,-1,21	cavern	24656	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	16800	823200	128	ELK_BIRD	MALE	29	49	24	29,20,-1,25,-1,21	cavern	22797	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	16800	823200	129	ELK_BIRD	MALE	31	51	24	29,20,-1,25,-1,21	cavern	23452	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	16800	823200	130	ELK_BIRD	MALE	29	51	24	29,20,-1,25,-1,21	cavern	28306	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	16800	823200	131	ELK_BIRD	FEMALE	31	53	24	29,20,-1,25,-1,21	cavern	24331	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	16800	823200	132	ELK_BIRD	FEMALE	27	50	24	29,20,-1,25,-1,21	cavern	26152	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	16800	823200	133	ELK_BIRD	FEMALE	31	51	24	29,20,-1,25,-1,21	cavern	26535	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	16800	823200	134	MAGMA_CRAB	FEMALE	12	165	22	29,20,-1,34,-1,0	deep	27544	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	16800	823200	135	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	deep	26285	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	16800	823200	136	MAGMA_CRAB	FEMALE	8	161	22	29,20,-1,34,-1,0	deep	25307	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	16800	823200	137	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	deep	24994	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	16800	823200	138	MAGMA_CRAB	MALE	12	164	22	29,20,-1,34,-1,0	deep	21557	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	126	ELK_BIRD	MALE	3	78	26	29,20,-1,25,-1,21	cavern	25827	0	0	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	127	ELK_BIRD	FEMALE	2	67	26	29,20,-1,25,-1,21	cavern	23576	0	0	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	128	ELK_BIRD	MALE	0	70	26	29,20,-1,25,-1,21	cavern	21717	0	0	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	129	ELK_BIRD	MALE	6	71	26	29,20,-1,25,-1,21	cavern	22372	0	0	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	130	ELK_BIRD	MALE	0	69	26	29,20,-1,25,-1,21	cavern	27226	0	0	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	131	ELK_BIRD	FEMALE	6	71	26	29,20,-1,25,-1,21	cavern	23251	0	0	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	132	ELK_BIRD	FEMALE	0	75	26	29,20,-1,25,-1,21	cavern	25072	0	0	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	133	ELK_BIRD	FEMALE	4	73	26	29,20,-1,25,-1,21	cavern	25455	0	0	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	134	MAGMA_CRAB	FEMALE	20	170	19	29,20,-1,34,-1,0	deep	26464	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	135	MAGMA_CRAB	MALE	16	174	19	29,20,-1,34,-1,0	deep	25205	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	136	MAGMA_CRAB	FEMALE	16	169	21	29,20,-1,34,-1,0	deep	24227	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	137	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	deep	23914	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	138	MAGMA_CRAB	MALE	11	164	22	29,20,-1,34,-1,0	deep	20477	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	139	BIRD_OWL_GREAT_HORNED	FEMALE	104	3	111	29,20,-1,-1,-1,61	surface	22181	0	1	1	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	140	GORLAK	MALE	56	9	49	29,20,-1,8,-1,28	cavern	19965	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	141	CRUNDLE	FEMALE	18	172	31	29,21,-1,13,-1,9	cavern	22377	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	142	CRUNDLE	FEMALE	5	167	31	29,21,-1,13,-1,9	cavern	27402	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	143	CRUNDLE	MALE	10	176	31	29,21,-1,13,-1,9	cavern	23694	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	144	CRUNDLE	MALE	11	172	31	29,21,-1,13,-1,9	cavern	28529	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	145	CRUNDLE	FEMALE	10	170	31	29,21,-1,13,-1,9	cavern	29210	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	146	CRUNDLE	MALE	8	180	31	29,21,-1,13,-1,9	cavern	26503	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	147	CRUNDLE	MALE	6	179	31	29,21,-1,13,-1,9	cavern	21628	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	148	CRUNDLE	FEMALE	0	184	31	29,21,-1,13,-1,9	cavern	28908	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	149	CRUNDLE	FEMALE	1	181	31	29,21,-1,13,-1,9	cavern	20854	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	150	CRUNDLE	FEMALE	0	187	31	29,21,-1,13,-1,9	cavern	25491	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	151	CRUNDLE	MALE	0	187	31	29,21,-1,13,-1,9	cavern	20546	0	1	0	0	1	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	152	CRUNDLE	FEMALE	0	188	31	29,21,-1,13,-1,9	cavern	27987	0	1	0	0	1	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	153	CRUNDLE	FEMALE	0	185	31	29,21,-1,13,-1,9	cavern	29697	0	1	0	0	1	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	154	CRUNDLE	FEMALE	0	183	31	29,21,-1,13,-1,9	cavern	27102	0	1	0	0	1	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	155	CRUNDLE	MALE	0	186	31	29,21,-1,13,-1,9	cavern	23042	0	1	0	0	1	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	156	CRUNDLE	MALE	0	188	31	29,21,-1,13,-1,9	cavern	20176	0	1	0	0	1	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	157	VORACIOUS_CAVE_CRAWLER	FEMALE	179	159	26	29,20,-1,25,-1,17	cavern	27839	0	1	0	0	0	-1	0	1	-1
20260921-161410	dawn	1	17880	824280	158	DEMON_10	FEMALE	188	19	4	29,20,-1,43,-1,5	deep	19314	0	1	0	0	0	-1	0	1	-1
