arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
dawn	1	1080	1080	BIRD_OWL_GREAT_HORNED	29,20,-1,-1,-1,61	surface	1	22181	22181	1	0	0	22635	22635	True
dawn	1	1080	1080	GORLAK	29,20,-1,8,-1,28	cavern	1	19965	19965	1	0	0	23688	23688	True
dawn	1	1080	1080	CRUNDLE	29,21,-1,13,-1,9	cavern	16	19375	29210	16	0	0	23688	30117	True
dawn	1	1080	1080	VORACIOUS_CAVE_CRAWLER	29,20,-1,25,-1,17	cavern	1	27839	27839	1	0	0	29063	29063	True
dawn	1	1080	1080	DEMON_10	29,20,-1,43,-1,5	deep	2	19303	19314	2	0	0	20472	20472	True
dawn	1	1080	1080	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	10	20370	29026	10	0	0	33322	40778	True
dawn	1	1080	1080	TROGLODYTE	29,20,-1,8,-1,19	cavern	8	20293	29091	8	0	0	25810	41850	True
dawn	1	1080	1080	CRUNDLE	29,20,-1,25,-1,12	cavern	15	19807	29346	15	0	0	21546	33322	True
dawn	1	1080	1080	BADGER	29,20,-1,-1,-1,82	surface	12	20716	28546	11	1	0	21546	31225	True
dawn	1	21552	21552	DEMON_9	30,20,-1,43,-1,2	deep	2	21782	23266	2	0	0	23506	24575	True
dawn	1	29034	29034	PORCUPINE	29,20,-1,-1,-1,90	surface	1	23395	23395	1	0	0	24736	24736	True
dawn	1	31197	31197	CRUNDLE	29,20,-1,13,-1,9	cavern	15	20039	29062	15	0	0	23660	35649	True
dawn	1	32305	32305	TOAD_GIANT_CAVE	29,20,-1,8,-1,12	cavern	1	27331	27331	1	0	0	27998	27998	True
dawn	1	32305	32305	REACHER	29,20,-1,25,-1,28	cavern	1	28123	28123	1	0	0	29043	29043	True
dawn	1	35451	35451	MOLEMARIAN	29,20,-1,25,-1,20	cavern	1	27936	27936	1	0	0	28149	28149	True
dawn	1	36513	36513	WOMBAT	29,20,-1,-1,-1,96	surface	1	28621	28621	1	0	0	30333	30333	True
dawn	1	42930	42930	ELK_BIRD	29,20,-1,8,-1,21	cavern	5	21784	29235	5	0	0	23916	31396	True
dawn	1	45058	45058	DEMON_3	29,20,-1,43,-1,0	deep	3	19868	23563	3	0	0	20748	27100	True
dawn	1	46127	46127	BIRD_EMU	29,20,-1,-1,-1,56	surface	6	20723	27844	6	0	0	23953	32437	True
dawn	1	48335	48335	MAGMA_CRAB	29,20,-1,34,-1,0	deep	4	20426	26267	3	0	1	43206	51842	True
dawn	1	61348	61348	MOLEMARIAN	29,20,-1,25,-1,20	cavern	3	20854	28923	3	0	0	24782	39909	True
dawn	1	65806	65806	TROGLODYTE	29,20,-1,13,-1,19	cavern	6	21006	28913	6	0	0	25735	30047	True
dawn	1	67865	68986	DEMON_13	29,20,-1,43,-1,4	deep	1	23406	23406	1	0	0	25779	25779	True
dawn	1	70080	70080	ELK_BIRD	29,20,-1,8,-1,21	cavern	5	20853	28165	5	0	0	24658	29001	True
dawn	1	70080	70080	BIRD_EMU	29,20,-1,-1,-1,56	surface	9	20403	29377	9	0	0	22491	31177	True
dawn	1	72158	72158	DEMON_3	29,20,-1,43,-1,0	deep	1	19842	19842	1	0	0	21486	21486	True
dawn	1	82862	83941	BIRD_OWL_GREAT_HORNED	29,20,-1,-1,-1,61	surface	1	27125	27125	0	0	1			True
dawn	1	83941	83941	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	4	19498	24827	0	0	4			True
dawn	1	84989	84989	BIRD_OWL_GREAT_HORNED	28,19,-1,-1,-1,61	surface	1	25336	25336	0	0	1			True
dawn	1	93644	93644	DEMON_16	29,20,-1,43,-1,3	deep	2	19523	19668	0	0	2			True
dawn	1	95853	95853	OLM_GIANT	29,20,-1,13,-1,13	cavern	1	26027	26027	0	0	1			True
dawn	1	95853	95853	BLIND_CAVE_OGRE	29,21,-1,13,-1,29	cavern	2	24907	25181	0	0	2			True
dawn	1	96930	96930	TROGLODYTE	29,21,-1,8,-1,19	cavern	5	19069	27496	0	0	5			True
dawn	1	99081	99081	VORACIOUS_CAVE_CRAWLER	29,20,-1,25,-1,17	cavern	1	22856	22856	0	0	1			True
dawn	1	100177	100177	MAGMA_CRAB	29,20,-1,34,-1,0	deep	1	26161	26161	0	0	1			True
dawn	1	101257	101257	FLESH_BALL	29,20,-1,25,-1,14	cavern	3	20517	26970	0	0	3			True
dawn	2	1038	1038	PORCUPINE	29,20,-1,-1,-1,90	surface	1	22816	22816	1	0	0	25012	25012	True
dawn	2	1038	1038	TROLL	29,20,-1,8,-1,27	cavern	1	23416	23416	1	0	0	33762	33762	True
dawn	2	1038	1038	REACHER	29,20,-1,13,-1,30	cavern	1	27779	27779	0	1	0			True
dawn	2	1038	1038	REACHER	29,20,-1,25,-1,28	cavern	1	27562	27562	1	0	0	31546	31546	True
dawn	2	1038	1038	DEMON_3	29,20,-1,43,-1,0	deep	5	21111	26507	5	0	0	22855	32597	True
dawn	2	1038	1038	BIRD_KESTREL	28,19,-1,-1,-1,60	surface	1	25863	25863	1	0	0	28220	28220	True
dawn	2	1038	1038	TOAD_GIANT_CAVE	29,20,-1,8,-1,12	cavern	1	23727	23727	1	0	0	33762	33762	True
dawn	2	1038	1038	TROGLODYTE	29,20,-1,13,-1,19	cavern	10	21261	29564	10	0	0	25012	30422	True
dawn	2	1038	1038	BIRD_EMU	29,20,-1,-1,-1,56	surface	5	19976	28808	5	0	0	21820	31546	True
dawn	2	1038	1038	RUTHERER	29,20,-1,25,-1,19	cavern	7	20898	28576	7	0	0	26068	31546	True
dawn	2	16370	16370	KANGAROO	29,20,-1,-1,-1,88	surface	2	22634	23017	2	0	0	25131	26213	True
dawn	2	31460	31460	TROLL	29,20,-1,13,-1,32	cavern	1	28357	28357	0	1	0			True
dawn	2	31460	32584	CRUNDLE	29,20,-1,13,-1,9	cavern	19	19412	29083	16	3	0	22064	29674	True
dawn	2	32584	32584	FLESH_BALL	29,20,-1,25,-1,14	cavern	5	19507	26088	0	0	5			True
dawn	2	32584	32584	DEMON_4	28,20,-1,44,-1,2	deep	5	21017	28871	5	0	0	23133	32071	True
dawn	2	34800	34800	TROLL	29,20,-1,8,-1,27	cavern	1	25611	25611	1	0	0	28676	28676	True
dawn	2	34800	34800	TOAD_GIANT_CAVE	29,20,-1,8,-1,12	cavern	1	21682	21682	1	0	0	37796	37796	True
dawn	2	37094	37094	WOMBAT	29,20,-1,-1,-1,96	surface	1	25431	25431	1	0	0	27561	27561	True
