run	arm	rep	tick	abs_tick	subject	metric	value
20260921-213219	dawn	1	16800	823200	clock	year	2
20260921-213219	dawn	1	16800	823200	clock	tick	16800
20260921-213219	dawn	1	16800	823200	clock	season	0
20260921-213219	dawn	1	16800	823200	clock	paused	1
20260921-213219	dawn	1	16800	823200	clock	fps_cap	1000.0
20260921-213219	dawn	1	16800	823200	clock	fps_achieved	57
20260921-213219	dawn	1	16800	823200	clock	gfps_cap	10.0
20260921-213219	dawn	1	16800	823200	clock	units_active	31
20260921-213219	dawn	1	16800	823200	clock	popups	0
20260921-213219	dawn	1	16800	823200	clock	map	1
20260921-213219	dawn	1	16802	823202	clock	fps_achieved	920
20260921-213219	dawn	1	16802	823202	clock	units_active	31
20260921-213219	dawn	1	16802	823202	clock	popups	0
20260921-213219	dawn	1	16802	823202	clock	paused	1
20260921-213219	dawn	1	16802	823202	clock	ticks_per_wall_s	0.1
20260921-213219	dawn	1	16802	823202	126	countdown	26905
20260921-213219	dawn	1	16802	823202	126	flag_src	0
20260921-213219	dawn	1	16802	823202	127	countdown	24654
20260921-213219	dawn	1	16802	823202	127	flag_src	0
20260921-213219	dawn	1	16802	823202	128	countdown	22795
20260921-213219	dawn	1	16802	823202	128	flag_src	0
20260921-213219	dawn	1	16802	823202	129	countdown	23450
20260921-213219	dawn	1	16802	823202	129	flag_src	0
20260921-213219	dawn	1	16802	823202	130	countdown	28304
20260921-213219	dawn	1	16802	823202	130	flag_src	0
20260921-213219	dawn	1	16802	823202	131	countdown	24329
20260921-213219	dawn	1	16802	823202	131	flag_src	0
20260921-213219	dawn	1	16802	823202	132	countdown	26150
20260921-213219	dawn	1	16802	823202	132	flag_src	0
20260921-213219	dawn	1	16802	823202	133	countdown	26533
20260921-213219	dawn	1	16802	823202	133	flag_src	0
20260921-213219	dawn	1	16802	823202	134	countdown	27542
20260921-213219	dawn	1	16802	823202	134	flag_src	1
20260921-213219	dawn	1	16802	823202	135	countdown	26283
20260921-213219	dawn	1	16802	823202	135	flag_src	1
20260921-213219	dawn	1	16802	823202	136	countdown	25305
20260921-213219	dawn	1	16802	823202	136	flag_src	1
20260921-213219	dawn	1	16802	823202	137	countdown	24992
20260921-213219	dawn	1	16802	823202	137	flag_src	1
20260921-213219	dawn	1	16802	823202	138	countdown	21555
20260921-213219	dawn	1	16802	823202	138	flag_src	1
20260921-213219	dawn	1	18084	824484	clock	fps_achieved	392
20260921-213219	dawn	1	18084	824484	clock	units_active	56
20260921-213219	dawn	1	18084	824484	clock	popups	0
20260921-213219	dawn	1	18084	824484	clock	paused	1
20260921-213219	dawn	1	18084	824484	clock	ticks_per_wall_s	208.5
20260921-213219	dawn	1	18084	824484	139	arrival_species	WOMBAT
20260921-213219	dawn	1	18084	824484	139	arrival_countdown	28697
20260921-213219	dawn	1	18084	824484	140	arrival_species	GORLAK
20260921-213219	dawn	1	18084	824484	140	arrival_countdown	25064
20260921-213219	dawn	1	18084	824484	141	arrival_species	REACHER
20260921-213219	dawn	1	18084	824484	141	arrival_countdown	21368
20260921-213219	dawn	1	18084	824484	142	arrival_species	RUTHERER
20260921-213219	dawn	1	18084	824484	142	arrival_countdown	22917
20260921-213219	dawn	1	18084	824484	143	arrival_species	RUTHERER
20260921-213219	dawn	1	18084	824484	143	arrival_countdown	27359
20260921-213219	dawn	1	18084	824484	144	arrival_species	RUTHERER
20260921-213219	dawn	1	18084	824484	144	arrival_countdown	25344
20260921-213219	dawn	1	18084	824484	145	arrival_species	RUTHERER
20260921-213219	dawn	1	18084	824484	145	arrival_countdown	19223
20260921-213219	dawn	1	18084	824484	146	arrival_species	RUTHERER
20260921-213219	dawn	1	18084	824484	146	arrival_countdown	23262
20260921-213219	dawn	1	18084	824484	147	arrival_species	DEMON_4
20260921-213219	dawn	1	18084	824484	147	arrival_countdown	26884
20260921-213219	dawn	1	18084	824484	148	arrival_species	DEMON_4
20260921-213219	dawn	1	18084	824484	148	arrival_countdown	20048
20260921-213219	dawn	1	18084	824484	149	arrival_species	DEMON_4
20260921-213219	dawn	1	18084	824484	149	arrival_countdown	19566
20260921-213219	dawn	1	18084	824484	150	arrival_species	DEMON_4
