arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
dawn	1	1284	1284	WOMBAT	29,20,-1,-1,-1,96	surface	1	28697	28697	1	0	0	30693	30693	True
dawn	1	1284	1284	GORLAK	29,20,-1,8,-1,28	cavern	1	25064	25064	1	0	0	28424	28424	True
dawn	1	1284	1284	REACHER	29,20,-1,13,-1,30	cavern	1	21368	21368	1	0	0	26317	26317	True
dawn	1	1284	1284	RUTHERER	29,20,-1,25,-1,19	cavern	5	19223	27359	5	0	0	25221	28424	True
dawn	1	1284	1284	DEMON_4	29,20,-1,43,-1,6	deep	5	19566	26894	5	0	0	31786	38379	True
dawn	1	1284	1284	BIRD_EMU	29,20,-1,-1,-1,56	surface	10	18905	28102	10	0	0	25221	32885	True
dawn	1	1284	1284	TROLL	29,20,-1,8,-1,27	cavern	1	19119	19119	1	0	0	20808	20808	True
dawn	1	1284	1284	VORACIOUS_CAVE_CRAWLER	29,20,-1,13,-1,20	cavern	1	23137	23137	1	0	0	26317	26317	True
dawn	1	22092	22092	TROGLODYTE	30,20,-1,8,-1,19	cavern	6	22610	27376	6	0	0	26369	36339	True
dawn	1	27601	27601	TROLL	29,20,-1,13,-1,32	cavern	1	22353	22353	1	0	0	24183	24183	True
dawn	1	27601	27601	TROGLODYTE	29,20,-1,13,-1,19	cavern	10	19615	27350	10	0	0	20860	28586	True
dawn	1	28676	28676	VORACIOUS_CAVE_CRAWLER	29,20,-1,25,-1,17	cavern	1	29044	29044	1	0	0	31885	31885	True
dawn	1	29708	29708	CAVE_BLOB	28,20,-1,25,-1,15	cavern	2	21702	28316	0	0	2			True
dawn	1	33070	33070	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	9	20207	29681	9	0	0	25361	34053	True
dawn	1	38543	38543	DEMON_12	28,20,-1,44,-1,4	deep	3	24528	27621	3	0	0	25307	28580	True
dawn	1	53918	53918	GORLAK	29,20,-1,8,-1,28	cavern	1	21111	21111	1	0	0	22245	22245	True
dawn	1	53918	53918	ELK_BIRD	29,20,-1,13,-1,25	cavern	10	19633	28582	10	0	0	27648	29883	True
dawn	1	58431	58431	ELK_BIRD	29,20,-1,8,-1,21	cavern	7	20445	24466	7	0	0	24215	25370	True
dawn	1	60561	60561	GROUNDHOG	29,20,-1,-1,-1,80	surface	3	21658	29368	3	0	0	32894	35059	True
dawn	1	67123	67123	DEMON_12	28,20,-1,44,-1,4	deep	5	24385	27507	5	0	0	28497	29662	True
dawn	1	76163	76163	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	5	21207	28450	0	0	5			True
dawn	1	83801	83801	ELK_BIRD	29,20,-1,8,-1,21	cavern	6	19295	25300	0	0	6			True
dawn	1	83801	83801	TROGLODYTE	29,20,-1,13,-1,19	cavern	8	19696	28991	0	0	8			True
dawn	1	84904	84904	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	8	19358	26752	0	0	8			True
dawn	1	94559	94559	BADGER	29,20,-1,-1,-1,82	surface	10	20289	28965	0	0	10			True
dawn	1	95620	95620	DEMON_10	29,20,-1,43,-1,5	deep	5	23417	28042	0	0	5			True
dawn	2	1079	1079	BIRD_RAVEN	28,19,-1,-1,-1,53	surface	8	21737	27995	8	0	0	23738	30380	True
dawn	2	1079	1079	TROGLODYTE	29,20,-1,8,-1,19	cavern	7	21397	27927	6	1	0	28149	31432	True
dawn	2	1079	1079	TROLL	29,20,-1,13,-1,32	cavern	1	22714	22714	1	0	0	28149	28149	True
dawn	2	1079	1079	ELK_BIRD	29,20,-1,25,-1,21	cavern	9	19614	28709	9	0	0	20473	29235	True
dawn	2	1079	1079	DEMON_19	28,20,-1,44,-1,0	deep	1	28854	28854	1	0	0	30380	30380	True
dawn	2	1079	1079	CROCODILE_CAVE	29,20,-1,13,-1,14	cavern	1	26518	26518	1	0	0	31432	31432	True
dawn	2	1079	1079	DEMON_12	28,20,-1,44,-1,4	deep	1	23899	23899	1	0	0	24892	24892	True
dawn	2	1079	1079	BIRD_OWL_GREAT_HORNED	29,20,-1,-1,-1,61	surface	2	20090	21085	0	2	0			True
dawn	2	17252	17252	PORCUPINE	29,20,-1,-1,-1,90	surface	1	21499	21499	1	0	0	24044	24044	True
dawn	2	17252	18309	SKUNK	29,20,-1,-1,-1,92	surface	1	23828	23828	1	0	0	27388	27388	True
dawn	2	25971	25971	DEMON_4	29,20,-1,43,-1,6	deep	4	20374	24209	4	0	0	21936	28465	True
dawn	2	29228	29228	TROLL	29,20,-1,25,-1,27	cavern	1	22047	22047	1	0	0	23047	23047	True
dawn	2	30314	30314	CROCODILE_CAVE	29,20,-1,13,-1,14	cavern	1	23241	23241	1	0	0	24122	24122	True
dawn	2	30314	30314	GORLAK	29,20,-1,25,-1,32	cavern	1	27458	27458	1	0	0	29559	29559	True
dawn	2	32511	32511	ELK_BIRD	29,20,-1,13,-1,25	cavern	5	20733	28460	5	0	0	23027	29533	True
dawn	2	32511	32511	TOAD_GIANT_CAVE	29,20,-1,8,-1,12	cavern	1	22381	22381	1	0	0	24146	24146	True
dawn	2	32511	32511	BIRD_SWALLOW_CAVE_GIANT	29,20,-1,8,-1,18	cavern	1	23592	23592	1	0	0	26289	26289	True
dawn	2	39118	39118	WOMBAT	29,20,-1,-1,-1,96	surface	1	29612	29612	1	0	0	30577	30577	True
dawn	2	41296	41296	KANGAROO	29,20,-1,-1,-1,88	surface	3	24822	25492	3	0	0	26199	28399	True
dawn	2	49023	49023	DEMON_9	29,20,-1,43,-1,2	deep	5	20699	29149	5	0	0	22873	29431	True
dawn	2	52275	52275	CRUNDLE	29,20,-1,25,-1,12	cavern	17	19978	29262	16	1	0	20735	35859	True
dawn	2	56657	56657	OLM_GIANT	29,20,-1,8,-1,9	cavern	1	27499	27499	1	0	0	40394	40394	True
dawn	2	57702	57702	BIRD_RAVEN	28,19,-1,-1,-1,53	surface	7	19232	28948	7	0	0	20752	40473	True
dawn	2	58800	58800	VORACIOUS_CAVE_CRAWLER	29,20,-1,13,-1,20	cavern	1	20230	20230	1	0	0	23933	23933	True
dawn	2	58800	58800	ELK_BIRD	29,20,-1,8,-1,21	cavern	6	20101	26449	6	0	0	21753	40511	True
dawn	2	62044	63097	BLIND_CAVE_OGRE	29,21,-1,13,-1,29	cavern	2	19316	24688	2	0	0	36131	36131	True
dawn	2	75179	75179	DEMON_16	29,20,-1,43,-1,3	deep	5	25021	27901	1	0	4	26316	26316	True
dawn	2	84946	84946	BIRD_OWL_GREAT_HORNED	29,20,-1,-1,-1,61	surface	1	28965	28965	0	0	1			True
dawn	2	84946	84946	BIRD_KESTREL	28,19,-1,-1,-1,60	surface	1	27198	27198	0	0	1			True
dawn	2	84946	84946	TROLL	29,20,-1,25,-1,27	cavern	1	20345	20345	0	0	1			True
dawn	2	88134	88134	TROLL	29,20,-1,25,-1,27	cavern	1	28828	28828	0	0	1			True
dawn	2	95933	95933	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	3	20041	25878	0	0	3			True
dawn	2	98175	98175	VORACIOUS_CAVE_CRAWLER	29,21,-1,13,-1,20	cavern	1	20630	20630	0	0	1			True
dawn	2	98175	98175	POND_GRABBER	28,20,-1,13,-1,12	cavern	4	25254	29054	0	0	4			True
dawn	2	99311	99311	TROGLODYTE	30,20,-1,8,-1,19	cavern	8	20167	29389	0	0	8			True
