run	arm	rep	tick	abs_tick	subject	metric	value
20260921-233953	held	1	16800	823200	clock	year	2
20260921-233953	held	1	16800	823200	clock	tick	16800
20260921-233953	held	1	16800	823200	clock	season	0
20260921-233953	held	1	16800	823200	clock	paused	1
20260921-233953	held	1	16800	823200	clock	fps_cap	1000.0
20260921-233953	held	1	16800	823200	clock	fps_achieved	36
20260921-233953	held	1	16800	823200	clock	gfps_cap	10.0
20260921-233953	held	1	16800	823200	clock	units_active	31
20260921-233953	held	1	16800	823200	clock	popups	0
20260921-233953	held	1	16800	823200	clock	map	1
20260921-233953	held	1	16802	823202	clock	fps_achieved	362
20260921-233953	held	1	16802	823202	clock	units_active	31
20260921-233953	held	1	16802	823202	clock	popups	0
20260921-233953	held	1	16802	823202	clock	paused	1
20260921-233953	held	1	16802	823202	clock	ticks_per_wall_s	0.1
20260921-233953	held	1	16802	823202	126	countdown	26905
20260921-233953	held	1	16802	823202	126	flag_src	0
20260921-233953	held	1	16802	823202	127	countdown	24654
20260921-233953	held	1	16802	823202	127	flag_src	0
20260921-233953	held	1	16802	823202	128	countdown	22795
20260921-233953	held	1	16802	823202	128	flag_src	0
20260921-233953	held	1	16802	823202	129	countdown	23450
20260921-233953	held	1	16802	823202	129	flag_src	0
20260921-233953	held	1	16802	823202	130	countdown	28304
20260921-233953	held	1	16802	823202	130	flag_src	0
20260921-233953	held	1	16802	823202	131	countdown	24329
20260921-233953	held	1	16802	823202	131	flag_src	0
20260921-233953	held	1	16802	823202	132	countdown	26150
20260921-233953	held	1	16802	823202	132	flag_src	0
20260921-233953	held	1	16802	823202	133	countdown	26533
20260921-233953	held	1	16802	823202	133	flag_src	0
20260921-233953	held	1	16802	823202	134	countdown	27542
20260921-233953	held	1	16802	823202	134	flag_src	1
20260921-233953	held	1	16802	823202	135	countdown	26283
20260921-233953	held	1	16802	823202	135	flag_src	1
20260921-233953	held	1	16802	823202	136	countdown	25305
20260921-233953	held	1	16802	823202	136	flag_src	1
20260921-233953	held	1	16802	823202	137	countdown	24992
20260921-233953	held	1	16802	823202	137	flag_src	1
20260921-233953	held	1	16802	823202	138	countdown	21555
20260921-233953	held	1	16802	823202	138	flag_src	1
20260921-233953	held	1	17911	824311	clock	fps_achieved	230
20260921-233953	held	1	17911	824311	clock	units_active	68
