arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
clear	1	26	1164	BIRD_KESTREL	28,19,-1,-1,-1,60	surface	1	22065	22065	1	0	0	28204	28204	True
clear	1	26	1164	TROLL	29,20,-1,8,-1,27	cavern	1	24481	24481	1	0	0	33784	33784	True
clear	1	26	1164	ELK_BIRD	29,20,-1,13,-1,25	cavern	10	19416	28669	10	0	0	26079	32643	True
clear	1	26	1164	DEMON_13	29,20,-1,43,-1,4	deep	2	20152	28188	2	0	0	22894	32643	True
clear	1	1164	1164	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	7	19824	28757	7	0	0	26001	33768	True
clear	1	1164	1164	DEMON_1	28,20,-1,44,-1,3	deep	4	20563	28058	4	0	0	23910	31505	True
clear	1	1164	1164	TOAD_GIANT_CAVE	29,20,-1,8,-1,12	cavern	1	22229	22229	1	0	0	35915	35915	True
clear	1	1164	1164	REACHER	29,20,-1,25,-1,28	cavern	1	21625	21625	1	0	0	24941	24941	True
clear	1	1164	1164	PORCUPINE	29,20,-1,-1,-1,90	surface	1	21857	21857	1	0	0	23910	23910	True
clear	1	1164	1164	JABBERER	29,20,-1,25,-1,18	cavern	1	27146	27146	1	0	0	28216	28216	True
clear	1	15302	15302	BIRD_EMU	29,20,-1,-1,-1,56	surface	4	22820	29423	4	0	0	30426	35827	True
clear	1	26105	26105	GROUNDHOG	29,20,-1,-1,-1,80	surface	3	19936	21550	3	0	0	22854	23955	True
clear	1	27165	27165	JABBERER	29,20,-1,25,-1,18	cavern	1	28246	28246	1	0	0	29585	29585	True
clear	1	29380	29380	CAVE_BLOB	29,20,-1,25,-1,15	cavern	3	24332	29275	0	0	3			True
clear	1	32669	32669	TOAD_GIANT_CAVE	29,20,-1,13,-1,10	cavern	1	28392	28392	1	0	0	29489	29489	True
clear	1	32669	32669	JABBERER	29,20,-1,13,-1,21	cavern	1	19890	19890	1	0	0	21829	21829	True
clear	1	32669	32669	DEMON_9	29,20,-1,43,-1,2	deep	2	26179	28237	2	0	0	27331	29489	True
clear	1	33810	33810	TROGLODYTE	29,20,-1,8,-1,19	cavern	8	20704	29532	8	0	0	24041	30483	True
clear	1	47920	47920	BIRD_KESTREL	29,20,-1,-1,-1,60	surface	1	25430	25430	1	0	0	20770	20770	True
clear	1	47920	47920	WOMBAT	29,20,-1,-1,-1,96	surface	1	26832	26832	1	0	0	20770	20770	True
clear	1	54498	54498	TOAD_GIANT_CAVE	29,20,-1,13,-1,10	cavern	1	22838	22838	1	0	0	24979	24979	True
clear	1	56750	57851	KANGAROO	29,20,-1,-1,-1,88	surface	4	20838	27896	4	0	0	13013	15174	True
clear	1	60000	60000	DEMON_18	29,20,-1,43,-1,1	deep	3	22509	29132	3	0	0	23866	30351	True
clear	1	62158	63243	VORACIOUS_CAVE_CRAWLER	29,21,-1,13,-1,20	cavern	1	19466	19466	1	0	0	21708	21708	True
clear	1	64293	64293	TROGLODYTE	29,20,-1,8,-1,19	cavern	6	20810	28332	6	0	0	28346	29537	True
clear	1	69763	69763	WOMBAT	29,20,-1,-1,-1,96	surface	1	28396	28396	1	0	0	31843	31843	True
clear	1	69763	69763	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	8	19576	25488	8	0	0	21687	29594	True
clear	1	79477	79477	TROGLODYTE	29,20,-1,13,-1,19	cavern	6	24692	29066	0	2	4			True
clear	1	80526	80526	BIRD_RAVEN	28,19,-1,-1,-1,53	surface	3	21032	23724	0	0	3			True
clear	1	86044	86044	DEMON_3	30,20,-1,43,-1,0	deep	4	21101	28830	0	0	4			True
clear	1	93830	93830	TOAD_GIANT_CAVE	29,20,-1,8,-1,12	cavern	1	20448	20448	0	0	1			True
clear	1	93830	93830	CROCODILE_CAVE	29,20,-1,8,-1,10	cavern	1	26331	26331	0	0	1			True
clear	2	34	1191	BIRD_OWL_GREAT_HORNED	29,20,-1,-1,-1,61	surface	1	28602	28602	1	0	0	32672	32672	True
clear	2	34	1191	CROCODILE_CAVE	29,20,-1,8,-1,10	cavern	1	26609	26609	0	1	0			True
clear	2	34	1191	CRUNDLE	29,20,-1,13,-1,9	cavern	20	19824	29160	20	0	0	27127	32672	True
clear	2	34	1191	JABBERER	29,20,-1,25,-1,18	cavern	1	24069	24069	1	0	0	26042	26042	True
clear	2	34	1191	DEMON_10	29,20,-1,43,-1,5	deep	4	20226	28674	4	0	0	21766	30497	True
clear	2	1191	1191	BIRD_KESTREL	29,20,-1,-1,-1,60	surface	1	26131	26131	1	0	0	27094	27094	True
clear	2	1191	1191	TROGLODYTE	29,20,-1,8,-1,19	cavern	10	19457	27177	4	6	0	28164	28164	True
clear	2	1191	1191	PORCUPINE	29,20,-1,-1,-1,90	surface	1	20998	20998	1	0	0	23781	23781	True
clear	2	1191	1191	BLIND_CAVE_OGRE	29,20,-1,25,-1,26	cavern	2	19743	28635	2	0	0	29340	29340	True
clear	2	8730	9867	KANGAROO	29,20,-1,-1,-1,88	surface	3	19015	27178	3	0	0	22862	30367	True
clear	2	26076	26076	BIRD_EMU	29,20,-1,-1,-1,56	surface	3	19762	26478	3	0	0	22653	28067	True
clear	2	29355	29355	OLM_GIANT	29,20,-1,8,-1,9	cavern	1	20313	20313	1	0	0	31261	31261	True
clear	2	29355	29355	TOAD_GIANT_CAVE	29,20,-1,8,-1,12	cavern	1	22200	22200	1	0	0	33400	33400	True
clear	2	30531	30531	TROLL	29,20,-1,25,-1,27	cavern	1	25027	25027	1	0	0	25757	25757	True
clear	2	30531	30531	DEMON_15	28,20,-1,44,-1,6	deep	4	20070	29284	4	0	0	21380	30085	True
clear	2	30531	30531	CREEPING_EYE	28,20,-1,25,-1,25	cavern	17	19918	29690	13	0	4	22523	37580	True
clear	2	31592	31592	TROGLODYTE	29,20,-1,13,-1,19	cavern	9	20532	28233	9	0	0	22551	31163	True
clear	2	33776	33776	WOMBAT	29,20,-1,-1,-1,96	surface	1	22060	22060	1	0	0	23523	23523	True
clear	2	33776	33776	BIRD_OWL_GREAT_HORNED	28,19,-1,-1,-1,61	surface	1	24075	24075	1	0	0	30084	30084	True
