arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
control	1	3178	3178	BIRD_KESTREL	28,19,-1,-1,-1,60	surface	1	24252	24252	1	0	0	30919	30919	True
control	1	3178	3178	BIRD_SWALLOW_CAVE_GIANT	29,20,-1,8,-1,18	cavern	1	26527	26527	1	0	0	27891	27891	True
control	1	3178	3178	CRUNDLE	29,20,-1,13,-1,9	cavern	17	17375	26905	17	0	0	21645	30919	True
control	1	3178	3178	CRUNDLE	29,20,-1,25,-1,12	cavern	19	19076	27249	17	2	0	24736	77039	True
control	1	3178	3178	DEMON_9	29,20,-1,43,-1,2	deep	4	17188	23124	4	0	0	21645	24736	True
control	1	3178	3178	PORCUPINE	29,20,-1,-1,-1,90	surface	1	23129	23129	1	0	0	24736	24736	True
control	1	3178	3178	GORLAK	29,20,-1,8,-1,28	cavern	1	26874	26874	1	0	0	27891	27891	True
control	1	3178	3178	BIRD_OWL_GREAT_HORNED	28,19,-1,-1,-1,61	surface	1	25916	25916	1	0	0	30919	30919	True
control	1	27914	27914	DEMON_18	29,20,-1,43,-1,1	deep	3	18021	24680	3	0	0	21708	27886	True
control	1	27914	27914	KANGAROO	29,20,-1,-1,-1,88	surface	2	20982	25542	2	0	0	24811	30894	True
control	1	31069	31069	BIRD_SWALLOW_CAVE_GIANT	29,20,-1,8,-1,18	cavern	1	23066	23066	1	0	0	24731	24731	True
control	1	31069	34097	TROLL	29,20,-1,8,-1,27	cavern	1	22938	22938	1	0	0	30786	30786	True
control	1	34097	34097	CROCODILE_CAVE	29,20,-1,13,-1,14	cavern	1	21425	21425	1	0	0	24711	24711	True
control	1	34097	34097	GREEN_DEVOURER	29,20,-1,13,-1,23	cavern	1	23242	23242	1	0	0	30812	30812	True
control	1	46538	46538	BIRD_OWL_GREAT_HORNED	29,20,-1,-1,-1,61	surface	1	17768	17768	1	0	0	21524	21524	True
control	1	46538	46538	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	7	18352	27368	7	0	0	27615	33679	True
control	1	49622	49622	DEMON_13	29,20,-1,43,-1,4	deep	3	21357	23489	3	0	0	24531	24531	True
control	1	55800	55800	BIRD_SWALLOW_CAVE_GIANT	29,20,-1,8,-1,18	cavern	1	20554	20554	1	0	0	24417	24417	True
control	1	58808	58808	GREEN_DEVOURER	29,20,-1,13,-1,23	cavern	1	23358	23358	0	1	0			True
control	1	61855	61855	TROGLODYTE	29,20,-1,8,-1,19	cavern	7	17735	25574	7	0	0	18362	27567	True
control	1	64909	64909	TROGLODYTE	29,20,-1,13,-1,19	cavern	9	18890	26153	9	0	0	24513	33850	True
control	1	68062	68062	PORCUPINE	29,20,-1,-1,-1,90	surface	1	26188	26188	1	0	0	30697	30697	True
control	1	74153	74153	DEMON_10	29,20,-1,43,-1,5	deep	3	20730	28558	2	0	1	21547	27711	True
control	1	77188	77188	BIRD_RAVEN	28,19,-1,-1,-1,53	surface	9	18360	26081	0	0	9			True
control	1	80217	80217	TROLL	29,20,-1,25,-1,27	cavern	1	26616	26616	0	0	1			True
control	1	80217	80217	BLIND_CAVE_OGRE	29,20,-1,25,-1,26	cavern	3	18353	26507	0	0	3			True
control	1	89422	89422	TROLL	29,20,-1,8,-1,27	cavern	1	24976	24976	0	0	1			True
control	1	92549	92549	TROGLODYTE	29,20,-1,8,-1,19	cavern	8	18506	26419	0	0	8			True
control	1	92549	92549	CROCODILE_CAVE	29,20,-1,13,-1,14	cavern	1	25636	25636	0	0	1			True
control	1	98759	98759	ELK_BIRD	29,20,-1,13,-1,25	cavern	7	20545	27366	0	0	7			True
control	1	101864	101864	DEMON_3	29,20,-1,43,-1,0	deep	4	20895	26222	0	0	4			True
control	2	3041	3041	GROUNDHOG	29,20,-1,-1,-1,80	surface	2	20870	22602	2	0	0	27659	33811	True
control	2	3041	3041	TROGLODYTE	29,20,-1,8,-1,19	cavern	9	17375	26607	8	1	0	27659	37010	True
control	2	3041	3041	TOAD_GIANT_CAVE	29,20,-1,13,-1,10	cavern	1	26845	26845	1	0	0	37010	37010	True
control	2	3041	3041	RUTHERER	29,20,-1,25,-1,19	cavern	7	18520	26592	7	0	0	27659	30737	True
control	2	3041	3041	DEMON_4	29,20,-1,43,-1,6	deep	3	17889	21790	3	0	0	18390	24559	True
