17:53:44 run E26b-LAKE 20260917-175344: River creatures, and only river creatures, allowed to spawn on LAKE. Every non-vermin creature carrying a RIVER biome token in the vanilla raws (19 species; LAKE holds the tropical ten in its river feature entries) is opened at 50 on every tile in every layer; every other Animal entry on the site and its ring, surface, cavern, underworld and feature alike, is closed (the first pass left the unbounded underworld entries open and twelve demons tripped the stop rule); every hold in every layer released, and released again every 1500 ticks. Edge water at every z, the map's feature list and map_edge's fields are logged first. Any arrival at all is a river creature. Runs to 100,800 ticks or six arrivals.
17:53:44   [rig] DF already running (pid 33717), port 5555
17:53:44 == E26b-LAKE arm=river_only rep=1 fort=LAKE budget=100800 every=1000
17:53:45   [rig] restored LAKE.preverify -> /Users/nathanielcannon/Library/Application Support/CrossOver/Bottles/Win10/drive_c/users/crossover/AppData/Roaming/Bay 12 Games/Dwarf Fortress/save/LAKE
17:53:45   restored LAKE.preverify -> LAKE sha256 76631d44449e
17:54:16   [rig] clicked through to LAKE (world: Udon Alu); waiting for the map
17:54:16   [rig] loaded after 12s (screen=viewscreen_dwarfmodest focus=dwarfmode/Default world=true map=true paused=true modal=false year=5 tick=16883 season=0 units=36)
17:54:16   [rig] drained 0 queued popup(s)
17:54:18   baseline: 9 wild units on map, 912 pool entries, tick 16883 year 5
17:54:25   manipulation: local n,zs,minz,maxz=0,{},999,-1; local d=df.global.world.map; local W,H=d.x_count,d.y_count; for z=0,d.z_count-1 do local cnt=0; for x=0,W-1 do for _,y in ipairs({0,H-1}) do local b=dfhack.maps.getTileBlock(x,y,z); if b then local des=b.designation[x%16][y%16]; if des.flow_size>=4 and not des.liquid_type then cnt=cnt+1 end end end end; for y=0,H-1 do for _,x in ipairs({0,W-1}) do local b=dfhack.maps.getTileBlock(x,y,z); if b then local des=b.designation[x%16][y%16]; if des.flow_size>=4 and not des.liquid_type then cnt=cnt+1 end end end end; if cnt>0 then n=n+cnt; zs[#zs+1]=z..':'..cnt; if z<minz then minz=z end; if z>maxz then maxz=z end end end; print(('edge water: %d edge tiles with water>=4 across z %d..%d [%s]'):format(n, minz, maxz, table.concat(zs,' '))) -> edge water: 895 edge tiles with water>=4 across z 48..94 [48:16 81:29 92:104 93:128 94:618]
17:54:25   manipulation: local out={}; local ok,err=pcall(function() for i,f in ipairs(df.global.world.features.map_features) do out[#out+1]=i..':'..tostring(f._type) end end); print('map_features:', ok and table.concat(out,' ') or ('err '..tostring(err))); local me={}; for k,v in pairs(df.global.plotinfo.map_edge) do local n; pcall(function() n=#v end); me[#me+1]=tostring(k)..'='..tostring(n or v) end; print('map_edge fields:', table.concat(me,' ')) -> map_features:	0:<type: feature_init_subterranean_from_layerst> 1:<type: feature_init_subterranean_from_layerst> 2:<type: feature_init_subterranean_from_layerst> 3:<type: feature_init_magma_core_from_layerst> 4:<type: feature_init_underworld_from_layerst> 5:<type: feature_init_subterranean_from_layerst> 6:<type: feature_init_deep_special_tubest> 7:<type: feature_init_deep_special_tubest> 8:<type: feature_init_outdoor_riverst> 9:<type: feature_init_deep_special_tubest> 10:<type: feature_init_deep_special_tubest> 11:<type: feature_init_cavest>
map_edge fields:	layer_x=5 surface_x=127 layer_y=5 surface_y=127 layer_z=5 surface_z=127
17:54:25   manipulation: probe:edge -> x	y	z	tiletype	water	liquid
176	191	95	GrassDryFloor3	0	water
177	191	95	GrassDryFloor2	0	water
178	191	95	GrassDryFloor2	0	water
179	191	95	StoneFloor4	0	water
180	191	95	StonePebbles3	0	water
181	191	95	GrassDryFloor1	0	water
182	191	95	GrassDryFloor4	0	water
183	191	95	GrassDryFloor4	0	water
184	191	95	GrassDryFloor1	0	water
185	191	95	GrassDryFloor2	0	water
186	191	95	GrassDryFloor4	0	water
187	191	95	GrassDryFloor2	0	water
188	191	95	GrassDryFloor3	0	water
189	191	95	GrassDryFloor1	0	water
190	191	95	StonePebbles2	0	water
191	191	95	GrassDryFloor2	0	water
191	80	95	GrassDryFloor2	0	water
191	81	95	GrassDryFloor4	0	water
191	82	95	GrassDryFloor3	0	water
191	83	95	GrassDryFloor2	0	water
191	84	95	GrassDryFloor1	0	water
191	85	95	Shrub	0	water
191	86	95	GrassDryFloor4	0	water
191	87	95	GrassDryFloor3	0	water
191	88	95	GrassDryFloor1	0	water
191	89	95	GrassDryFloor3	0	water
191	90	95	GrassDryFloor1	0	water
191	91	95	GrassDryFloor4	0	water
191	92	95	GrassDryFloor2	0	water
191	93	95	GrassDryFloor2	0	water
191	94	95	GrassDryFloor3	0	water
191	95	95	GrassDryFloor2	0	water
191	96	95	GrassDryFloor4	0	water
191	97	95	GrassDryFloor3	0	water
191	98	95	GrassDryFloor3	0	water
191	99	95	StonePebbles1	0	water
191	100	95	GrassDryFloor3	0	water
191	101	95	GrassDryFloor3	0	water
191	102	95	GrassDryFloor4	0	water
191	103	95	StonePebbles3	0	water
191	104	95	Shrub	0	water
191	105	95	GrassDryFloor1	0	water
191	106	95	GrassDryFloor4	0	water
191	107	95	StonePebbles4	0	water
191	108	95	GrassDryFloor1	0	water
191	109	95	GrassDryFloor4	0	water
191	110	95	GrassDryFloor2	0	water
191	111	95	StoneBoulder	0	water
191	112	95	GrassDryFloor2	0	water
191	113	95	GrassDryFloor2	0	water
191	114	95	GrassDryFloor1	0	water
191	115	95	GrassDryFloor1	0	water
191	116	95	GrassDryFloor4	0	water
191	117	95	GrassDryFloor2	0	water
191	118	95	GrassDryFloor4	0	water
191	119	95	GrassDryFloor4	0	water
191	120	95	GrassDryFloor4	0	water
191	121	95	GrassDryFloor1	0	water
191	122	95	GrassDryFloor4	0	water
191	123	95	GrassDryFloor1	0	water
191	124	95	GrassDryFloor3	0	water
191	125	95	GrassDryFloor1	0	water
191	126	95	GrassDryFloor2	0	water
191	127	95	GrassDryFloor2	0	water
191	128	95	GrassDryFloor1	0	water
191	129	95	GrassDryFloor1	0	water
191	130	95	GrassDryFloor3	0	water
191	131	95	GrassDryFloor1	0	water
191	132	95	Shrub	0	water
191	133	95	GrassDryFloor1	0	water
191	134	95	GrassDryFloor4	0	water
191	135	95	GrassDryFloor1	0	water
191	136	95	GrassDryFloor4	0	water
191	137	95	GrassDryFloor3	0	water
191	138	95	GrassDryFloor2	0	water
191	139	95	GrassDryFloor4	0	water
191	140	95	GrassDryFloor2	0	water
191	141	95	GrassDryFloor4	0	water
191	142	95	GrassDryFloor1	0	water
191	143	95	GrassDryFloor4	0	water
191	144	95	GrassDryFloor2	0	water
191	145	95	GrassDryFloor4	0	water
191	146	95	GrassDryFloor1	0	water
191	147	95	GrassDryFloor3	0	water
